site,name,link,price_fail,price_true
xplit,"REX BROWN POLISHED RECT 60*120 (КГ) 1,44м(2шт)/46,08м",https://www.xplit.ru/catalog/rex-ape-ceramica/67800.html,5581,5997
xplit,"ATREO BLANCO PULIDO 60*120 (КГ) 1,44м(2шт)/38,88м",https://www.xplit.ru/catalog/60x120-argenta/63815.html,3397,3649
xplit,"AURORA BLUE 60*120 (КГ) 1,44м(2шт)/46,08м",https://www.xplit.ru/catalog/60x120-argenta/67944.html,3397,3649
xplit,"TANTALO NEGRO PULIDO 60*120 (КГ) 1,44м(2шт)/38,88м",https://www.xplit.ru/catalog/60x120-argenta/63814.html,3397,3649
xplit,"BLACK GOLDEN 60*119,50 (КГ, полир., рект.) 1к-1,434м(2шт)/50,19м",https://www.xplit.ru/catalog/black-golden-cifre-ceramica/48789.html,4239,4555
xplit,"CAPRAIA GOLD 60*120 (КГ) 1,44м2(2шт)/46,08м2",https://www.xplit.ru/catalog/capraia-cifre-ceramica/77864.html,4335,4657
xplit,"AMAZZONITE JADE 60*120 (КГ, суперполир., рект.) 1,44м2(2шт)/46,08м2",https://www.xplit.ru/catalog/amazzonite-cifre-ceramica/73676.html,4868,5231
xplit,"ICEBERG NPLUS 59,8*119,8 (КГ) 1,433м2 (2шт)/42,99м",https://www.xplit.ru/catalog/iceberg-fanal-ceramica/78002.html,4749,6000
megaceramic,"REX BROWN POLISHED RECT 60*120 (КГ) 1,44м(2шт)/46,08м",https://megaceramic.ru/index.php?route=product/product&product_id=214436,4798,5997
megaceramic,"BLACK GOLDEN 60*119,50 (КГ, полир., рект.) 1к-1,434м(2шт)/50,19м",https://megaceramic.ru/index.php?route=product/product&product_id=215301,4327,4555
megaceramic,"CAPRAIA GOLD 60*120 (КГ) 1,44м2(2шт)/46,08м2",https://megaceramic.ru/index.php?route=product/product&product_id=250009,4424,4657
megaceramic,"LUXURY BEIGE 60*120 (КГ, полир.) 1,44м(2шт)",https://megaceramic.ru/index.php?route=product/product&product_id=215297,4327,4555
megaceramic,"LUXURY WHITE 60*120 (КГ, полир.) 1,44м(2шт)",https://megaceramic.ru/index.php?route=product/product&product_id=215299,4327,4555
megaceramic,"AMAZZONITE JADE 60*120 (КГ, суперполир., рект.) 1,44м2(2шт)/46,08м2",https://megaceramic.ru/index.php?route=product/product&product_id=250010,4970,5231
megaceramic,"PAONAZZO 60*120 (КГ, суперполир., рект.) 1,44м2(2шт)/46,08м2",https://megaceramic.ru/index.php?route=product/product&product_id=250011,4970,5231
megaceramic,"ICEBERG NPLUS 59,8*119,8 (КГ) 1,433м2 (2шт)/42,99м",https://megaceramic.ru/index.php?route=product/product&product_id=255588,4492,6000
